Streaming output truncated to the last 5000 lines.
>50047, d1[0.364] d2[0.300] g[4.193]
>50048, d1[0.226] d2[0.577] g[2.476]
>50049, d1[0.398] d2[0.360] g[1.605]
>50050, d1[0.400] d2[0.259] g[6.627]
>50051, d1[0.243] d2[0.560] g[4.537]
>50052, d1[0.472] d2[0.279] g[4.544]
>50053, d1[0.356] d2[0.315] g[3.748]
>50054, d1[0.391] d2[0.318] g[5.071]
>50055, d1[0.403] d2[0.394] g[2.249]
>50056, d1[0.227] d2[0.295] g[3.909]
>50057, d1[0.222] d2[0.344] g[5.110]
>50058, d1[0.389] d2[0.301] g[4.363]
>50059, d1[0.452] d2[0.339] g[2.177]
>50060, d1[0.150] d2[0.380] g[6.117]
>50061, d1[0.437] d2[0.260] g[4.097]
>50062, d1[0.483] d2[0.269] g[3.044]
>50063, d1[0.314] d2[0.252] g[4.689]
>50064, d1[0.430] d2[0.253] g[5.234]
>50065, d1[0.261] d2[0.465] g[4.595]
>50066, d1[0.315] d2[0.347] g[4.520]
>50067, d1[0.376] d2[0.368] g[2.177]
>50068, d1[0.245] d2[0.539] g[2.563]
>50069, d1[0.184] d2[0.248] g[5.063]
>50070, d1[0.325] d2[0.409] g[3.265]
>50071, d1[0.500] d2[0.286] g[2.861]
>50072, d1[0.307] d2[0.357] g[4.476]
>50073, d1[0.300] d2[0.275] g[5.415]
>50074, d1[0.346] d2[0.430] g[2.885]
>50075, d1[0.313] d2[0.436] g[4.513]
>50076, d1[0.333] d2[0.360] g[3.895]
>50077, d1[0.274] d2[0.345] g[4.905]
>50078, d1[0.445] d2[0.276] g[4.345]
>50079, d1[0.414] d2[0.316] g[2.233]
>50080, d1[0.420] d2[0.292] g[6.194]
>50081, d1[0.311] d2[0.306] g[5.074]
>50082, d1[0.227] d2[0.395] g[5.147]
>50083, d1[0.259] d2[0.292] g[5.261]
>50084, d1[0.357] d2[0.388] g[2.768]
>50085, d1[0.414] d2[0.347] g[4.146]
>50086, d1[0.351] d2[0.330] g[4.498]
>50087, d1[0.185] d2[0.421] g[4.729]
>50088, d1[0.158] d2[0.213] g[5.769]
>50089, d1[0.396] d2[0.309] g[5.409]
>50090, d1[0.287] d2[0.290] g[4.519]
>50091, d1[0.175] d2[0.496] g[4.430]
>50092, d1[0.375] d2[0.328] g[4.030]
>50093, d1[0.351] d2[0.299] g[4.271]
>50094, d1[0.426] d2[0.283] g[3.942]
>50095, d1[0.200] d2[0.310] g[5.394]
>50096, d1[0.506] d2[0.249] g[4.120]
>50097, d1[0.487] d2[0.251] g[3.134]
>50098, d1[0.289] d2[0.434] g[4.612]
>50099, d1[0.297] d2[0.337] g[4.851]
>50100, d1[0.316] d2[0.451] g[3.748]
>50101, d1[0.252] d2[0.250] g[5.659]
>50102, d1[0.234] d2[0.550] g[6.771]
>50103, d1[0.454] d2[0.281] g[4.587]
>50104, d1[0.370] d2[0.256] g[5.097]
>50105, d1[0.361] d2[0.414] g[3.841]
>50106, d1[0.330] d2[0.381] g[3.091]
>50107, d1[0.308] d2[0.338] g[4.861]
>50108, d1[0.332] d2[0.350] g[4.541]
>50109, d1[0.375] d2[0.367] g[2.329]
>50110, d1[0.406] d2[0.317] g[3.329]
>50111, d1[0.254] d2[0.469] g[4.715]
>50112, d1[0.431] d2[0.271] g[3.608]
>50113, d1[0.353] d2[0.318] g[4.581]
>50114, d1[0.367] d2[0.343] g[6.764]
>50115, d1[0.407] d2[0.331] g[2.954]
>50116, d1[0.315] d2[0.391] g[3.815]
>50117, d1[0.296] d2[0.321] g[4.270]
>50118, d1[0.282] d2[0.374] g[4.462]
>50119, d1[0.278] d2[0.303] g[5.158]
>50120, d1[0.276] d2[0.404] g[4.041]
>50121, d1[0.157] d2[0.338] g[5.621]
>50122, d1[0.466] d2[0.258] g[4.161]
>50123, d1[0.386] d2[0.346] g[1.812]
>50124, d1[0.361] d2[0.297] g[5.138]
>50125, d1[0.486] d2[0.255] g[4.635]
>50126, d1[0.161] d2[0.238] g[5.101]
>50127, d1[0.455] d2[0.261] g[3.160]
>50128, d1[0.233] d2[0.402] g[3.843]
>50129, d1[0.125] d2[0.326] g[6.230]
>50130, d1[0.277] d2[0.284] g[5.575]
>50131, d1[0.399] d2[0.340] g[2.333]
>50132, d1[0.320] d2[0.315] g[4.933]
>50133, d1[0.465] d2[0.294] g[2.617]
>50134, d1[0.400] d2[0.352] g[2.584]
>50135, d1[0.195] d2[0.348] g[5.174]
>50136, d1[0.286] d2[0.371] g[4.463]
>50137, d1[0.257] d2[0.273] g[4.927]
>50138, d1[0.350] d2[0.454] g[4.446]
>50139, d1[0.178] d2[0.294] g[4.369]
>50140, d1[0.311] d2[0.260] g[5.579]
>50141, d1[0.115] d2[0.369] g[4.704]
>50142, d1[0.445] d2[0.364] g[2.875]
>50143, d1[0.412] d2[0.309] g[4.646]
>50144, d1[0.393] d2[0.306] g[4.268]
>50145, d1[0.171] d2[0.217] g[5.674]
>50146, d1[0.403] d2[0.286] g[3.900]
>50147, d1[0.230] d2[0.430] g[2.313]
>50148, d1[0.288] d2[0.417] g[5.192]
